"","batch","plate_well","count","run_no","contrast"
"1",1,"708 L08,710 P16,712 M24",16,1,"RC_to_SA"
"2",2,"700 I16,702 N24,704 L16",18,1,"RC_to_SA"
"3",3,"612 P24,614 P16,618 N08",9,1,"RC_to_SA"
"4",1,"708 L24,710 J16,712 M16",63,2,"RC_to_SA"
"5",2,"700 O24,702 I08,704 K24",55,2,"RC_to_SA"
"6",3,"612 L24,614 N08,618 L16",208,2,"RC_to_SA"
"7",1,"708 M24,710 N24,712 M16",37,3,"RC_to_SA"
"8",2,"700 M24,702 M24,704 P08",9,3,"RC_to_SA"
"9",3,"612 J24,614 L08,618 J08",37,3,"RC_to_SA"
"10",1,"708 I24,710 P08,712 K08",15,4,"RC_to_SA"
"11",2,"700 J24,702 J08,704 N24",55,4,"RC_to_SA"
"12",3,"612 J16,614 L24,618 J24",443,4,"RC_to_SA"
"13",1,"708 O16,710 M16,712 I08",2,5,"RC_to_SA"
"14",2,"700 P08,702 L24,704 K24",153,5,"RC_to_SA"
"15",3,"612 P16,614 I16,618 L16",8,5,"RC_to_SA"
"16",1,"708 K24,710 M24,712 K24",70,6,"RC_to_SA"
"17",2,"700 I16,702 M16,704 O24",23,6,"RC_to_SA"
"18",3,"612 M08,614 I16,618 I24",13,6,"RC_to_SA"
"19",1,"708 K24,710 N16,712 J08",38,7,"RC_to_SA"
"20",2,"700 J24,702 J16,704 K24",46,7,"RC_to_SA"
"21",3,"612 P16,614 J08,618 J16",1,7,"RC_to_SA"
"22",1,"708 K16,710 I08,712 O08",8,8,"RC_to_SA"
"23",2,"700 K08,702 J16,704 J08",6,8,"RC_to_SA"
"24",3,"612 K24,614 P08,618 O08",8,8,"RC_to_SA"
"25",1,"708 P16,710 K08,712 N16",6,9,"RC_to_SA"
"26",2,"700 N16,702 L08,704 O24",30,9,"RC_to_SA"
"27",3,"612 N08,614 K08,618 L24",272,9,"RC_to_SA"
"28",1,"708 M16,710 J24,712 P08",24,10,"RC_to_SA"
"29",2,"700 K16,702 L24,704 K08",120,10,"RC_to_SA"
"30",3,"612 J24,614 M24,618 K16",127,10,"RC_to_SA"
"31",1,"708 J24,710 L16,712 N24",9,11,"RC_to_SA"
"32",2,"700 L24,702 L24,704 K08",353,11,"RC_to_SA"
"33",3,"612 K16,614 P08,618 J16",4,11,"RC_to_SA"
"34",1,"708 I16,710 N08,712 K16",11,12,"RC_to_SA"
"35",2,"700 J08,702 P16,704 K16",9,12,"RC_to_SA"
"36",3,"612 I24,614 L24,618 J24",659,12,"RC_to_SA"
"37",1,"708 L16,710 P08,712 N08",23,13,"RC_to_SA"
"38",2,"700 O24,702 O16,704 J16",8,13,"RC_to_SA"
"39",3,"612 I16,614 M08,618 J08",3,13,"RC_to_SA"
"40",1,"708 I16,710 K08,712 L24",109,14,"RC_to_SA"
"41",2,"700 O16,702 I16,704 I08",6,14,"RC_to_SA"
"42",3,"612 N08,614 O24,618 J16",27,14,"RC_to_SA"
"43",1,"708 I16,710 J16,712 J24",11,15,"RC_to_SA"
"44",2,"700 I24,702 O24,704 N16",15,15,"RC_to_SA"
"45",3,"612 M08,614 N24,618 I08",42,15,"RC_to_SA"
"46",1,"708 J16,710 K24,712 L16",72,16,"RC_to_SA"
"47",2,"700 J08,702 N08,704 N24",21,16,"RC_to_SA"
"48",3,"612 O16,614 O16,618 J16",10,16,"RC_to_SA"
"49",1,"708 N08,710 N24,712 I16",45,17,"RC_to_SA"
"50",2,"700 O24,702 K08,704 N08",33,17,"RC_to_SA"
"51",3,"612 N24,614 N16,618 P16",24,17,"RC_to_SA"
"52",1,"708 P08,710 O08,712 N08",7,18,"RC_to_SA"
"53",2,"700 M08,702 K24,704 K16",42,18,"RC_to_SA"
"54",3,"612 J16,614 I16,618 K24",30,18,"RC_to_SA"
"55",1,"708 O24,710 L16,712 N16",11,19,"RC_to_SA"
"56",2,"700 P24,702 J24,704 P16",23,19,"RC_to_SA"
"57",3,"612 P08,614 L24,618 N16",220,19,"RC_to_SA"
"58",1,"708 L16,710 I08,712 M24",16,20,"RC_to_SA"
"59",2,"700 I08,702 P08,704 M24",8,20,"RC_to_SA"
"60",3,"612 N16,614 O24,618 I08",45,20,"RC_to_SA"
"61",1,"708 I24,710 P08,712 K08",15,21,"RC_to_SA"
"62",2,"700 M24,702 J08,704 O08",4,21,"RC_to_SA"
"63",3,"612 M24,614 J08,618 P16",7,21,"RC_to_SA"
