"","batch","plate_well","count","run_no","contrast"
"1",1,"708 O08,710 J16,712 O24",3,1,"RC_to_SA"
"2",2,"700 K08,702 O24,704 J08",13,1,"RC_to_SA"
"3",3,"612 O16,614 O24,618 M08",35,1,"RC_to_SA"
"4",1,"708 N08,710 P16,712 J24",10,2,"RC_to_SA"
"5",2,"700 L08,702 K16,704 P24",21,2,"RC_to_SA"
"6",3,"612 J24,614 K08,618 M08",90,2,"RC_to_SA"
"7",1,"708 N08,710 N08,712 O16",3,3,"RC_to_SA"
"8",2,"700 K16,702 M24,704 L08",16,3,"RC_to_SA"
"9",3,"612 K16,614 M16,618 L08",7,3,"RC_to_SA"
"10",2,"700 M08,702 N16,704 P24",7,4,"RC_to_SA"
"11",3,"612 M16,614 M08,618 P08",4,4,"RC_to_SA"
"12",1,"708 I08,710 L16,712 J24",30,5,"RC_to_SA"
"13",2,"700 K08,702 O08,704 M16",4,5,"RC_to_SA"
"14",3,"612 N08,614 P24,618 J08",19,5,"RC_to_SA"
"15",1,"708 P16,710 K16,712 N16",9,6,"RC_to_SA"
"16",2,"700 P24,702 J16,704 I08",16,6,"RC_to_SA"
"17",3,"612 O24,614 O24,618 P08",68,6,"RC_to_SA"
"18",1,"708 N16,710 I16,712 P24",3,7,"RC_to_SA"
"19",2,"700 N24,702 P24,704 P16",6,7,"RC_to_SA"
"20",3,"612 I16,614 O24,618 J08",33,7,"RC_to_SA"
"21",1,"708 O24,710 M24,712 M24",35,8,"RC_to_SA"
"22",2,"700 I08,702 P16,704 K16",12,8,"RC_to_SA"
"23",3,"612 I24,614 M08,618 I08",11,8,"RC_to_SA"
"24",1,"708 O24,710 I08,712 J16",16,9,"RC_to_SA"
"25",2,"700 L08,702 M16,704 I08",12,9,"RC_to_SA"
"26",3,"612 O16,614 P24,618 I16",14,9,"RC_to_SA"
"27",1,"708 P16,710 K08,712 K16",20,10,"RC_to_SA"
"28",2,"700 P24,702 N16,704 N16",6,10,"RC_to_SA"
"29",3,"612 M08,614 P24,618 M08",4,10,"RC_to_SA"
"30",1,"708 I24,710 I16,712 I16",7,11,"RC_to_SA"
"31",2,"700 I24,702 O08,704 J08",16,11,"RC_to_SA"
"32",3,"612 O16,614 N08,618 J24",35,11,"RC_to_SA"
"33",1,"708 M08,710 I08,712 O08",16,12,"RC_to_SA"
"34",2,"700 M08,702 N08,704 L08",9,12,"RC_to_SA"
"35",3,"612 L16,614 J16,618 L08",14,12,"RC_to_SA"
"36",1,"708 M24,710 P16,712 O24",7,13,"RC_to_SA"
"37",2,"700 P08,702 P24,704 P24",15,13,"RC_to_SA"
"38",3,"612 J16,614 L08,618 M08",9,13,"RC_to_SA"
"39",1,"708 P24,710 L08,712 K16",21,14,"RC_to_SA"
"40",2,"700 L08,702 N08,704 J08",12,14,"RC_to_SA"
"41",3,"612 N16,614 O08,618 I08",5,14,"RC_to_SA"
"42",1,"708 J16,710 P16,712 L08",11,15,"RC_to_SA"
"43",2,"700 M16,702 M24,704 K08",16,15,"RC_to_SA"
"44",3,"612 I08,614 N16,618 P16",7,15,"RC_to_SA"
"45",1,"708 L16,710 M08,712 J08",17,16,"RC_to_SA"
"46",2,"700 K08,702 N08,704 I08",8,16,"RC_to_SA"
"47",3,"612 P24,614 N08,618 P08",13,16,"RC_to_SA"
"48",1,"708 I08,710 O16,712 I24",7,17,"RC_to_SA"
"49",2,"700 M08,702 K16,704 P24",26,17,"RC_to_SA"
"50",3,"612 M08,614 M08,618 J24",23,17,"RC_to_SA"
"51",1,"708 M24,710 K16,712 K24",61,18,"RC_to_SA"
"52",2,"700 K08,702 M08,704 K16",20,18,"RC_to_SA"
"53",3,"612 N24,614 O08,618 J24",64,18,"RC_to_SA"
"54",1,"708 M24,710 N16,712 L16",12,19,"RC_to_SA"
"55",2,"700 K16,702 J24,704 L08",19,19,"RC_to_SA"
"56",3,"612 O16,614 K16,618 J24",134,19,"RC_to_SA"
"57",1,"708 M08,710 K16,712 J24",39,20,"RC_to_SA"
"58",2,"700 L08,702 K08,704 L08",43,20,"RC_to_SA"
"59",3,"612 M16,614 L16,618 P08",9,20,"RC_to_SA"
"60",2,"700 N24,702 O08,704 L16",2,21,"RC_to_SA"
"61",3,"612 K08,614 O24,618 L16",150,21,"RC_to_SA"
"62",1,"708 M08,710 M08,712 I24",47,22,"RC_to_SA"
"63",2,"700 I24,702 O08,704 J16",10,22,"RC_to_SA"
"64",3,"612 I16,614 N16,618 J08",14,22,"RC_to_SA"
"65",1,"708 N16,710 P16,712 O24",3,23,"RC_to_SA"
"66",2,"700 O08,702 K08,704 J08",2,23,"RC_to_SA"
"67",3,"612 O24,614 P24,618 J08",48,23,"RC_to_SA"
"68",1,"708 J16,710 P16,712 O24",5,24,"RC_to_SA"
"69",2,"700 L08,702 P16,704 K16",17,24,"RC_to_SA"
"70",3,"612 K16,614 O08,618 M08",6,24,"RC_to_SA"
"71",1,"708 J16,710 M24,712 M24",19,25,"RC_to_SA"
"72",2,"700 I24,702 J24,704 I08",26,25,"RC_to_SA"
"73",3,"612 J24,614 I08,618 P08",18,25,"RC_to_SA"
"74",1,"708 O08,710 M24,712 L08",38,26,"RC_to_SA"
"75",2,"700 O08,702 M08,704 K16",14,26,"RC_to_SA"
"76",3,"612 N08,614 L16,618 I24",72,26,"RC_to_SA"
"77",1,"708 J08,710 I16,712 N08",11,27,"RC_to_SA"
"78",3,"612 N24,614 J16,618 I08",10,27,"RC_to_SA"
"79",1,"708 I24,710 P16,712 N16",11,28,"RC_to_SA"
